\begin{table}
\begin{tabular}{ccccccccccccccccc}
field & ID & M_med & zbest & PETRO_RADIUS & fagn_mir & lir & s24(mJy) & fagn_tot & lagn & lsf & sfr & lx & lbol & BHAR & distance & unitless_dist \\
EGS & 25171 & 9.95443 & 0.817 & 3.96 & 0.1 & 10.71 & 0.088 & 0.0031 & 41.7841066595 & 44.2913965617 & 0.944609075465 & 42.7938121576 & 44.242265197 & -1.55669562682 & 1580.00330715 & 3.19865799599 \\
EGS & 23685 & 10.0031 & 0.8228 & 5.28 & 0.1 & 10.81 & 0.108 & 0.0031 & 41.8841066595 & 44.3913965617 & 1.04460907546 & 42.8277121576 & 44.284640197 & -1.51432062682 & 1583.75228614 & 3.1996872548 \\
EGS & 8581 & 9.88728 & 0.823 & 3.96 & 0.2 & 10.83 & 0.098 & 0.0194 & 42.7005466956 & 44.4042368546 & 1.05744936838 & 43.1044853298 & 44.6306066623 & -1.16835416152 & 1583.88060686 & 3.19972244131 \\
EGS & 30802 & 10.6101 & 0.83 & 10.56 & 0.3 & 11.18 & 0.214 & 0.0489 & 43.4520538248 & 44.7409711474 & 1.39418366114 & 43.3592462466 & 44.9490578083 & -0.849903015524 & 1588.33209363 & 3.20094131129 \\
EGS & 24456 & 10.1984 & 0.833 & 4.62 & 0.1 & 11.33 & 0.376 & 0.0031 & 42.4041066595 & 44.9113965617 & 1.56460907546 & 43.0039921576 & 44.504990197 & -1.29397062682 & 1590.21638057 & 3.20145622274 \\
EGS & 31062 & 9.56787 & 0.834 & 5.94 & 0.2 & 10.68 & 0.078 & 0.0194 & 42.5505466956 & 44.2542368546 & 0.907449368377 & 43.0536353298 & 44.5670441623 & -1.23191666152 & 1590.84136677 & 3.20162687545 \\
EGS & 28541 & 8.4287 & 0.835 & 10.56 & 0.2 & 10.39 & 0.039 & 0.0194 & 42.2605466956 & 43.9642368546 & 0.617449368377 & 42.9553253298 & 44.4441566623 & -1.35480416152 & 1591.46480344 & 3.20179703828 \\
EGS & 25533 & 10.7089 & 0.835 & 5.28 & 0.1 & 11.06 & 0.22 & 0.0031 & 42.1341066595 & 44.6413965617 & 1.29460907546 & 42.9124621576 & 44.390577697 & -1.40838312682 & 1591.46480344 & 3.20179703828 \\
EGS & 9376 & 10.122 & 0.837 & 4.62 & 0.2 & 10.87 & 0.167 & 0.0194 & 42.7405466956 & 44.4442368546 & 1.09744936838 & 43.1180453298 & 44.6475566623 & -1.15140416152 & 1592.70704056 & 3.20213589986 \\
EGS & 25380 & 10.6571 & 0.837 & 4.62 & 0.1 & 11.37 & 0.208 & 0.0031 & 42.4441066595 & 44.9513965617 & 1.60460907546 & 43.0175521576 & 44.521940197 & -1.27702062682 & 1592.70704056 & 3.20213589986 \\
EGS & 24915 & 10.5761 & 0.842 & 4.62 & 0.3 & 11.17 & 0.229 & 0.0489 & 43.4420538248 & 44.7309711474 & 1.38418366114 & 43.3558562466 & 44.9448203083 & -0.854140515524 & 1595.78573279 & 3.20297457792 \\
EGS & 661 & 10.3198 & 0.847 & 4.62 & 0.2 & 11.48 & 0.343 & 0.0194 & 43.3505466956 & 45.0542368546 & 1.70744936838 & 43.3248353298 & 44.9060441623 & -0.892916661519 & 1598.82630194 & 3.20380128413 \\
EGS & 29222 & 9.74662 & 0.849 & 4.62 & 0.1 & 10.45 & 0.052 & 0.0031 & 41.5241066595 & 44.0313965617 & 0.684609075465 & 42.7056721576 & 44.132090197 & -1.66687062682 & 1600.03194026 & 3.20412865224 \\
EGS & 25616 & 9.63496 & 0.85 & 3.96 & 0.1 & 10.49 & 0.052 & 0.0031 & 41.5641066595 & 44.0713965617 & 0.724609075465 & 42.7192321576 & 44.149040197 & -1.64992062682 & 1600.63250235 & 3.20429163141 \\
EGS & 23817 & 9.74603 & 0.858 & 5.28 & 0.2 & 10.82 & 0.11 & 0.0194 & 42.6905466956 & 44.3942368546 & 1.04744936838 & 43.1010953298 & 44.6263691623 & -1.17259166152 & 1605.38322449 & 3.20557872049 \\
EGS & 2936 & 9.6241 & 0.864 & 3.96 & 0.1 & 10.42 & 0.043 & 0.0031 & 41.4941066595 & 44.0013965617 & 0.654609075465 & 42.6955021576 & 44.119377697 & -1.67958312682 & 1608.88415182 & 3.20652477372 \\
EGS & 23959 & 9.58863 & 0.875 & 4.62 & 0.1 & 10.74 & 0.042 & 0.0031 & 41.8141066595 & 44.3213965617 & 0.974609075465 & 42.8039821576 & 44.254977697 & -1.54398312682 & 1615.16651888 & 3.20821730345 \\
EGS & 8724 & 9.84465 & 0.877 & 4.62 & 0.1 & 10.8 & 0.102 & 0.0031 & 41.8741066595 & 44.3813965617 & 1.03460907546 & 42.8243221576 & 44.280402697 & -1.51855812682 & 1616.29009568 & 3.20851931166 \\
EGS & 26698 & 9.28291 & 0.879 & 3.96 & 0.4 & 10.31 & 0.047 & 0.0916 & 42.8546404394 & 43.8510220912 & 0.504234605014 & 43.1567231089 & 44.6959038862 & -1.10305693761 & 1617.40798431 & 3.20881958267 \\
EGS & 23458 & 10.0766 & 0.881 & 4.62 & 0.1 & 11.32 & 0.245 & 0.0031 & 42.3941066595 & 44.9013965617 & 1.55460907546 & 43.0006021576 & 44.500752697 & -1.29820812682 & 1618.52020736 & 3.20911812598 \\
EGS & 26936 & 9.48625 & 0.883 & 3.96 & 0.2 & 10.57 & 0.059 & 0.0194 & 42.4405466956 & 44.1442368546 & 0.797449368377 & 43.0163453298 & 44.5204316623 & -1.27852916152 & 1619.62678733 & 3.20941495104 \\
EGS & 28919 & 10.9547 & 0.8839 & 4.62 & 0.2 & 11.22 & 0.474 & 0.0194 & 43.0905466956 & 44.7942368546 & 1.44744936838 & 43.2366953298 & 44.7958691623 & -1.00309166152 & 1620.12291324 & 3.20954796424 \\
EGS & 26924 & 10.4082 & 0.888 & 4.62 & 0.1 & 10.9 & 0.139 & 0.0031 & 41.9741066595 & 44.4813965617 & 1.13460907546 & 42.8582221576 & 44.322777697 & -1.47618312682 & 1622.36869553 & 3.21014955779 \\
EGS & 15079 & 9.91951 & 0.897 & 4.62 & 0.2 & 10.68 & 0.141 & 0.0194 & 42.5505466956 & 44.2542368546 & 0.907449368377 & 43.0536353298 & 44.5670441623 & -1.23191666152 & 1627.21671018 & 3.21144539545 \\
EGS & 24341 & 10.0448 & 0.901 & 4.62 & 0.2 & 10.86 & 0.114 & 0.0194 & 42.7305466956 & 44.4342368546 & 1.08744936838 & 43.1146553298 & 44.6433191623 & -1.15564166152 & 1629.3357325 & 3.212010582 \\
EGS & 2147 & 9.59844 & 0.901 & 4.62 & 0.1 & 10.39 & 0.039 & 0.0031 & 41.4641066595 & 43.9713965617 & 0.624609075465 & 42.6853321576 & 44.106665197 & -1.69229562682 & 1629.3357325 & 3.212010582 \\
EGS & 20708 & 10.1278 & 0.9075 & 4.62 & 0.3 & 10.94 & 0.13 & 0.0489 & 43.2120538248 & 44.5009711474 & 1.15418366114 & 43.2778862466 & 44.8473578083 & -0.951603015524 & 1632.73295162 & 3.21291515772 \\
EGS & 1898 & 9.66469 & 0.908 & 4.62 & 0.3 & 10.71 & 0.111 & 0.0489 & 42.9820538248 & 44.2709711474 & 0.924183661141 & 43.1999162466 & 44.7498953083 & -1.04906551552 & 1632.9919245 & 3.21298403706 \\
EGS & 29219 & 9.35385 & 0.91 & 3.96 & 0.2 & 11.37 & 0.16 & 0.0194 & 43.2405466956 & 44.9442368546 & 1.59744936838 & 43.2875453298 & 44.8594316623 & -0.939529161519 & 1634.02447643 & 3.21325855764 \\
EGS & 26099 & 9.434 & 0.91 & 4.62 & 0.1 & 10.68 & 0.028 & 0.0031 & 41.7541066595 & 44.2613965617 & 0.914609075465 & 42.7836421576 & 44.229552697 & -1.56940812682 & 1634.02447643 & 3.21325855764 \\
EGS & 2201 & 9.90085 & 0.9127 & 4.62 & 0.3 & 11.2 & 0.099 & 0.0489 & 43.4720538248 & 44.7609711474 & 1.41418366114 & 43.3660262466 & 44.9575328083 & -0.841428015524 & 1635.40997465 & 3.21362664226 \\
EGS & 26356 & 9.69044 & 0.915 & 4.62 & 0.1 & 10.58 & 0.059 & 0.0031 & 41.6541066595 & 44.1613965617 & 0.814609075465 & 42.7497421576 & 44.187177697 & -1.61178312682 & 1636.58259438 & 3.21393792799 \\
EGS & 26812 & 11.178 & 0.9152 & 3.5 & 0.3 & 11.43 & 0.351 & 0.0489 & 43.7020538248 & 44.9909711474 & 1.64418366114 & 43.4439962466 & 45.0549953083 & -0.743965515524 & 1636.68423116 & 3.21396489817 \\
EGS & 15309 & 9.14483 & 0.923 & 5.28 & 0.2 & 10.75 & 0.042 & 0.0194 & 42.6205466956 & 44.3242368546 & 0.977449368377 & 43.0773653298 & 44.5967066623 & -1.20225416152 & 1640.60714194 & 3.2150045978 \\
EGS & 11492 & 10.1163 & 0.925 & 5.28 & 0.1 & 10.84 & 0.064 & 0.0031 & 41.9141066595 & 44.4213965617 & 1.07460907546 & 42.8378821576 & 44.297352697 & -1.50160812682 & 1641.60024664 & 3.21526740868 \\
EGS & 11780 & 9.66364 & 0.925 & 3.96 & 0.2 & 10.6 & 0.059 & 0.0194 & 42.4705466956 & 44.1742368546 & 0.827449368377 & 43.0265153298 & 44.5331441623 & -1.26581666152 & 1641.60024664 & 3.21526740868 \\
EGS & 11396 & 10.6952 & 0.93 & 4.62 & 0.3 & 11.15 & 0.119 & 0.0489 & 43.4220538248 & 44.7109711474 & 1.36418366114 & 43.3490762466 & 44.9363453083 & -0.862615515524 & 1644.06042637 & 3.21591777571 \\
EGS & 5575 & 9.99416 & 0.932 & 3.96 & 0.2 & 10.64 & 0.132 & 0.0194 & 42.5105466956 & 44.2142368546 & 0.867449368377 & 43.0400753298 & 44.5500941623 & -1.24886666152 & 1645.03551882 & 3.21617527947 \\
EGS & 2202 & 9.76086 & 0.9349 & 5.28 & 0.1 & 11.0 & 0.045 & 0.0031 & 42.0741066595 & 44.5813965617 & 1.23460907546 & 42.8921221576 & 44.365152697 & -1.43380812682 & 1646.44034793 & 3.21654600044 \\
EGS & 23945 & 10.9 & 0.937 & 4.62 & 0.4 & 11.59 & 0.983 & 0.0916 & 44.1346404394 & 45.1310220912 & 1.78423460501 & 43.5906431089 & 45.2383038862 & -0.560656937611 & 1647.45097787 & 3.21681250044 \\
EGS & 9016 & 9.87293 & 0.941 & 3.96 & 0.1 & 11.25 & 0.182 & 0.0031 & 42.3241066595 & 44.8313965617 & 1.48460907546 & 42.9768721576 & 44.471090197 & -1.32787062682 & 1649.36060177 & 3.21731561637 \\
EGS & 24826 & 10.4284 & 0.944 & 4.62 & 0.1 & 11.45 & 0.086 & 0.0031 & 42.5241066595 & 45.0313965617 & 1.68460907546 & 43.0446721576 & 44.555840197 & -1.24312062682 & 1650.77965699 & 3.21768910831 \\
EGS & 2847 & 9.66904 & 0.95 & 5.28 & 0.4 & 10.68 & 0.064 & 0.0916 & 43.2246404394 & 44.2210220912 & 0.874234605014 & 43.2821531089 & 44.8526913862 & -0.946269437611 & 1653.58420819 & 3.21842631611 \\
EGS & 22944 & 10.2694 & 0.9503 & 5.28 & 0.3 & 11.22 & 0.4 & 0.0489 & 43.4920538248 & 44.7809711474 & 1.43418366114 & 43.3728062466 & 44.9660078083 & -0.832953015524 & 1653.72326833 & 3.21846283708 \\
EGS & 28250 & 9.6374 & 0.952 & 4.62 & 0.1 & 10.56 & 0.046 & 0.0031 & 41.6341066595 & 44.1413965617 & 0.794609075465 & 42.7429621576 & 44.178702697 & -1.62025812682 & 1654.50918668 & 3.21866918293 \\
EGS & 26458 & 9.99959 & 0.953 & 3.96 & 0.2 & 11.15 & 0.168 & 0.0194 & 43.0205466956 & 44.7242368546 & 1.37744936838 & 43.2129653298 & 44.7662066623 & -1.03275416152 & 1654.96983584 & 3.21879008255 \\
EGS & 14897 & 9.51875 & 0.955 & 5.94 & 0.1 & 10.81 & 0.071 & 0.0031 & 41.8841066595 & 44.3913965617 & 1.04460907546 & 42.8277121576 & 44.284640197 & -1.51432062682 & 1655.88746607 & 3.21903081885 \\
EGS & 27295 & 8.89786 & 0.957 & 3.96 & 0.2 & 11.21 & 0.048 & 0.0194 & 43.0805466956 & 44.7842368546 & 1.43744936838 & 43.2333053298 & 44.7916316623 & -1.00732916152 & 1656.8002215 & 3.21927014395 \\
EGS & 18846 & 10.1776 & 0.958 & 3.96 & 0.3 & 11.14 & 0.119 & 0.0489 & 43.4120538248 & 44.7009711474 & 1.35418366114 & 43.3456862466 & 44.9321078083 & -0.866853015524 & 1657.25477715 & 3.21938927958 \\
EGS & 5707 & 10.0932 & 0.96 & 4.62 & 0.1 & 10.77 & 0.083 & 0.0031 & 41.8441066595 & 44.3513965617 & 1.00460907546 & 42.8141521576 & 44.267690197 & -1.53127062682 & 1658.16025625 & 3.21962650151 \\
EGS & 7361 & 9.52144 & 0.96 & 5.28 & 0.1 & 10.33 & 0.03 & 0.0031 & 41.4041066595 & 43.9113965617 & 0.564609075465 & 42.6649921576 & 44.081240197 & -1.71772062682 & 1658.16025625 & 3.21962650151 \\
EGS & 9013 & 9.61251 & 0.96 & 4.62 & 0.2 & 10.5 & 0.044 & 0.0194 & 42.3705466956 & 44.0742368546 & 0.727449368377 & 42.9926153298 & 44.4907691623 & -1.30819166152 & 1658.16025625 & 3.21962650151 \\
EGS & 3755 & 10.1722 & 0.96 & 4.62 & 0.3 & 10.92 & 0.161 & 0.0489 & 43.1920538248 & 44.4809711474 & 1.13418366114 & 43.2711062466 & 44.8388828083 & -0.960078015524 & 1658.16025625 & 3.21962650151 \\
EGS & 30526 & 10.1946 & 0.962 & 4.62 & 0.3 & 10.96 & 0.146 & 0.0489 & 43.2320538248 & 44.5209711474 & 1.17418366114 & 43.2846662466 & 44.8558328083 & -0.943128015524 & 1659.06090826 & 3.21986233035 \\
EGS & 23612 & 10.2797 & 0.962 & 5.28 & 0.3 & 11.06 & 0.102 & 0.0489 & 43.3320538248 & 44.6209711474 & 1.27418366114 & 43.3185662466 & 44.8982078083 & -0.900753015524 & 1659.06090826 & 3.21986233035 \\
EGS & 14975 & 9.883 & 0.963 & 5.94 & 0.3 & 10.81 & 0.13 & 0.0489 & 43.0820538248 & 44.3709711474 & 1.02418366114 & 43.2338162466 & 44.7922703083 & -1.00669051552 & 1659.50943002 & 3.21997972459 \\
EGS & 6857 & 9.9434 & 0.967 & 5.28 & 0.1 & 11.27 & 0.048 & 0.0031 & 42.3441066595 & 44.8513965617 & 1.50460907546 & 42.9836521576 & 44.479565197 & -1.31939562682 & 1661.29154381 & 3.22044585446 \\
EGS & 1290 & 10.0414 & 0.9687 & 3.5 & 0.1 & 11.23 & 0.088 & 0.0031 & 42.3041066595 & 44.8113965617 & 1.46460907546 & 42.9700921576 & 44.462615197 & -1.33634562682 & 1662.04316652 & 3.22064229907 \\
EGS & 29234 & 10.0859 & 0.97 & 4.62 & 0.1 & 10.67 & 0.089 & 0.0031 & 41.7441066595 & 44.2513965617 & 0.904609075465 & 42.7802521576 & 44.225315197 & -1.57364562682 & 1662.61562289 & 3.22079185707 \\
EGS & 3025 & 10.2645 & 0.97 & 3.5 & 0.1 & 10.68 & 0.067 & 0.0031 & 41.7541066595 & 44.2613965617 & 0.914609075465 & 42.7836421576 & 44.229552697 & -1.56940812682 & 1662.61562289 & 3.22079185707 \\
EGS & 872 & 10.013 & 0.973 & 5.28 & 0.3 & 10.97 & 0.051 & 0.0489 & 43.2420538248 & 44.5309711474 & 1.18418366114 & 43.2880562466 & 44.8600703083 & -0.938890515524 & 1663.92905228 & 3.22113480461 \\
EGS & 12010 & 10.0031 & 0.975 & 3.96 & 0.1 & 11.17 & 0.077 & 0.0031 & 42.2441066595 & 44.7513965617 & 1.40460907546 & 42.9497521576 & 44.437190197 & -1.36177062682 & 1664.79878625 & 3.22136175058 \\
EGS & 28074 & 9.54908 & 0.978 & 5.28 & 0.1 & 10.58 & 0.035 & 0.0031 & 41.6541066595 & 44.1613965617 & 0.814609075465 & 42.7497421576 & 44.187177697 & -1.61178312682 & 1666.09460488 & 3.22169965806 \\
EGS & 6739 & 10.9165 & 0.98 & 5.28 & 0.3 & 11.21 & 0.215 & 0.0489 & 43.4820538248 & 44.7709711474 & 1.42418366114 & 43.3694162466 & 44.9617703083 & -0.837190515524 & 1666.95265581 & 3.22192326533 \\
EGS & 28118 & 10.2358 & 0.98 & 4.62 & 0.3 & 11.17 & 0.161 & 0.0489 & 43.4420538248 & 44.7309711474 & 1.38418366114 & 43.3558562466 & 44.9448203083 & -0.854140515524 & 1666.95265581 & 3.22192326533 \\
EGS & 26570 & 10.0346 & 0.98 & 5.28 & 0.2 & 10.51 & 0.107 & 0.0194 & 42.3805466956 & 44.0842368546 & 0.737449368377 & 42.9960053298 & 44.4950066623 & -1.30395416152 & 1666.95265581 & 3.22192326533 \\
EGS & 27304 & 9.76119 & 0.984 & 5.28 & 0.1 & 10.83 & 0.066 & 0.0031 & 41.9041066595 & 44.4113965617 & 1.06460907546 & 42.8344921576 & 44.293115197 & -1.50584562682 & 1668.65485211 & 3.22236651563 \\
EGS & 10560 & 9.4388 & 0.988 & 3.96 & 0.4 & 10.6 & 0.08 & 0.0916 & 43.1446404394 & 44.1410220912 & 0.794234605014 & 43.2550331089 & 44.8187913862 & -0.980169437611 & 1670.33862837 & 3.22280452475 \\
EGS & 30054 & 9.62795 & 0.9904 & 10.56 & 0.2 & 10.81 & 0.096 & 0.0194 & 42.6805466956 & 44.3842368546 & 1.03744936838 & 43.0977053298 & 44.6221316623 & -1.17682916152 & 1671.34011236 & 3.22306483642 \\
EGS & 3519 & 9.62679 & 0.9922 & 4.62 & 0.2 & 11.35 & 0.209 & 0.0194 & 43.2205466956 & 44.9242368546 & 1.57744936838 & 43.2807653298 & 44.8509566623 & -0.948004161519 & 1672.08692617 & 3.2232588512 \\
EGS & 23742 & 11.1159 & 0.995 & 4.62 & 0.5 & 10.61 & 0.121 & 0.1475 & 43.361536986 & 44.1234393534 & 0.776651867131 & 43.3285610383 & 44.9107012978 & -0.888259525969 & 1673.24134536 & 3.22355858735 \\
EGS & 22345 & 9.82538 & 0.997 & 5.94 & 0.1 & 10.6 & 0.028 & 0.0031 & 41.6741066595 & 44.1813965617 & 0.834609075465 & 42.7565221576 & 44.195652697 & -1.60330812682 & 1674.06051944 & 3.22377115424 \\
EGS & 2021 & 10.4536 & 0.997 & 3.5 & 0.3 & 11.12 & 0.294 & 0.0489 & 43.3920538248 & 44.6809711474 & 1.33418366114 & 43.3389062466 & 44.9236328083 & -0.875328015524 & 1674.06051944 & 3.22377115424 \\
