\begin{table}
\begin{tabular}{cccccccc}
field & ID & HLx & lbol & BHAR_xray & M_med & zbest & BHAR \\
GDS & 10493 & 42.71918 & 44.148975 & -1.64998582379 & 10.46 & 1.88 & -0.731253015524 \\
GDS & 19476 & 43.92824 & 45.6603 & -0.138660823789 & 10.6 & 1.897 & -0.15655603808 \\
EGS & 11922 & 43.45322 & 45.066525 & -0.732435823789 & 10.4916 & 1.899 & -0.653881937611 \\
GDS & 25511 & 43.69454 & 45.368175 & -0.430785823789 & 10.45 & 1.901 & -0.730156937611 \\
EGS & 19062 & 43.72563 & 45.4070375 & -0.391923323789 & 10.3222 & 1.905 & -0.901391661519 \\
UDS & 12984 & 43.4921 & 45.115125 & -0.683835823789 & 10.8881794939 & 1.911 & -0.641169437611 \\
COS & 5528 & 44.25424 & 46.0678 & 0.268839176211 & 10.6776 & 1.912 & -0.782103015524 \\
EGS & 30186 & 43.41911 & 45.0238875 & -0.775073323789 & 11.403 & 1.921 & -0.239703015524 \\
EGS & 4906 & 44.40166 & 46.252075 & 0.453114176211 & 10.7122 & 1.94 & -0.671928015524 \\
EGS & 15461 & 44.11883 & 45.8985375 & 0.0995766762109 & 10.5061 & 1.946 & -1.18106666152 \\
EGS & 11869 & 42.91818 & 44.397725 & -1.40123582379 & 11.2535 & 1.959 & -0.810341297883 \\
EGS & 23679 & 43.2313 & 44.789125 & -1.00983582379 & 10.0385 & 1.965 & -0.867491661519 \\
EGS & 9301 & 43.66629 & 45.3328625 & -0.466098323789 & 9.81706 & 1.977 & -0.646503015524 \\
EGS & 9835 & 43.00938 & 44.511725 & -1.28723582379 & 10.9033 & 1.979 & -0.613241661519 \\
COS & 87 & 43.92682 & 45.658525 & -0.140435823789 & 10.7722 & 1.982 & -0.253868487228 \\
GDS & 25873 & 43.63867 & 45.2983375 & -0.500623323789 & 10.62 & 1.982 & -0.515140515524 \\
EGS & 9665 & 43.78254 & 45.478175 & -0.320785823789 & 10.4379 & 1.99 & -0.0292568805458 \\
EGS & 24351 & 42.93169 & 44.4146125 & -1.38434832379 & 10.4886 & 1.99 & -0.850541661519 \\
GDS & 18068 & 42.70554 & 44.131925 & -1.66703582379 & 10.25 & 1.994 & -0.859016661519 \\
COS & 19645 & 43.83101 & 45.5387625 & -0.260198323789 & 10.9399 & 1.995 & -0.829354161519 \\
COS & 16755 & 43.76236 & 45.45295 & -0.346010823789 & 10.5218 & 1.997 & -0.765153015524 \\
