\begin{table}
\begin{tabular}{cccccccccccccccccc}
field & ID & M_med & zbest & PETRO_RADIUS & fagn_mir & lir & s24(mJy) & fagn_tot & lagn & lsf & sfr & lx & lbol & BHAR & sSFR & dist_MS & dist_MS_lin \\
COS & 17911 & 11.0667 & 0.877 & 4.62 & 0.3 & 11.05 & 0.126 & 0.0489 & 43.3220538248 & 44.6109711474 & 1.26418366114 & 43.3151762466 & 44.8939703083 & -0.904990515524 & -9.80251633886 & -11.6031592716 & -11.4354900193 \\
COS & 19782 & 10.0942 & 0.877 & 5.28 & 0.1 & 10.79 & 0.102 & 0.0031 & 41.8641066595 & 44.3713965617 & 1.02460907546 & 42.8209321576 & 44.276165197 & -1.52279562682 & -9.06959092454 & -10.8702338572 & -10.702564605 \\
COS & 28126 & 8.81569 & 0.878 & 5.94 & 0.2 & 10.27 & 0.034 & 0.0194 & 42.1405466956 & 43.8442368546 & 0.497449368377 & 42.9146453298 & 44.3933066623 & -1.40565416152 & -8.31824063162 & -10.1188835643 & -9.95121431207 \\
COS & 18256 & 10.0274 & 0.879 & 5.28 & 0.5 & 10.85 & 0.132 & 0.1475 & 43.601536986 & 44.3634393534 & 1.01665186713 & 43.4099210383 & 45.0124012978 & -0.786559525969 & -9.01074813287 & -10.8113910656 & -10.6437218133 \\
COS & 26340 & 10.2749 & 0.88 & 5.28 & 0.3 & 10.61 & 0.18 & 0.0489 & 42.8820538248 & 44.1709711474 & 0.824183661141 & 43.1660162466 & 44.7075203083 & -1.09144051552 & -9.45071633886 & -11.2513592716 & -11.0836900193 \\
COS & 27693 & 9.5667 & 0.88 & 3.96 & 0.3 & 10.53 & 0.076 & 0.0489 & 42.8020538248 & 44.0909711474 & 0.744183661141 & 43.1388962466 & 44.6736203083 & -1.12534051552 & -8.82251633886 & -10.6231592716 & -10.4554900193 \\
COS & 28749 & 9.76257 & 0.88 & 3.96 & 0.1 & 10.79 & 0.096 & 0.0031 & 41.8641066595 & 44.3713965617 & 1.02460907546 & 42.8209321576 & 44.276165197 & -1.52279562682 & -8.73796092454 & -10.5386038572 & -10.370934605 \\
COS & 22226 & 8.47683 & 0.8803 & 7.26 & 0.7 & 10.86 & 0.096 & 0.2989 & 43.9182708807 & 44.2885249328 & 0.941737446579 & 43.5172938286 & 45.1466172857 & -0.652343538079 & -7.53509255342 & -9.33573548612 & -9.16806623387 \\
COS & 15340 & 10.7066 & 0.881 & 4.62 & 0.3 & 11.52 & 0.387 & 0.0489 & 43.7920538248 & 45.0809711474 & 1.73418366114 & 43.4745062466 & 45.0931328083 & -0.705828015524 & -8.97241633886 & -10.7730592716 & -10.6053900193 \\
COS & 18449 & 9.86012 & 0.881 & 4.62 & 0.3 & 10.67 & 0.107 & 0.0489 & 42.9420538248 & 44.2309711474 & 0.884183661141 & 43.1863562466 & 44.7329453083 & -1.06601551552 & -8.97593633886 & -10.7765792716 & -10.6089100193 \\
