\begin{table}
\begin{tabular}{cccccccccccccccccc}
field & ID & M_med & zbest & PETRO_RADIUS & fagn_mir & lir & s24(mJy) & fagn_tot & lagn & lsf & sfr & lx & lbol & BHAR & sSFR & dist_MS & dist_MS_lin \\
EGS & 2202 & 9.76086 & 0.9349 & 5.28 & 0.1 & 11.0 & 0.045 & 0.0031 & 42.0741066595 & 44.5813965617 & 1.23460907546 & 42.8921221576 & 44.365152697 & -1.43380812682 & -8.52625092454 & -9.91441964829 & -9.57644355111 \\
EGS & 23945 & 10.9 & 0.937 & 4.62 & 0.4 & 11.59 & 0.983 & 0.0916 & 44.1346404394 & 45.1310220912 & 1.78423460501 & 43.5906431089 & 45.2383038862 & -0.560656937611 & -9.11576539499 & -10.5039341187 & -10.1659580216 \\
EGS & 9016 & 9.87293 & 0.941 & 3.96 & 0.1 & 11.25 & 0.182 & 0.0031 & 42.3241066595 & 44.8313965617 & 1.48460907546 & 42.9768721576 & 44.471090197 & -1.32787062682 & -8.38832092454 & -9.77648964829 & -9.43851355111 \\
EGS & 24826 & 10.4284 & 0.944 & 4.62 & 0.1 & 11.45 & 0.086 & 0.0031 & 42.5241066595 & 45.0313965617 & 1.68460907546 & 43.0446721576 & 44.555840197 & -1.24312062682 & -8.74379092454 & -10.1319596483 & -9.79398355111 \\
EGS & 2847 & 9.66904 & 0.95 & 5.28 & 0.4 & 10.68 & 0.064 & 0.0916 & 43.2246404394 & 44.2210220912 & 0.874234605014 & 43.2821531089 & 44.8526913862 & -0.946269437611 & -8.79480539499 & -10.1829741187 & -9.84499802156 \\
EGS & 22944 & 10.2694 & 0.9503 & 5.28 & 0.3 & 11.22 & 0.4 & 0.0489 & 43.4920538248 & 44.7809711474 & 1.43418366114 & 43.3728062466 & 44.9660078083 & -0.832953015524 & -8.83521633886 & -10.2233850626 & -9.88540896543 \\
EGS & 28250 & 9.6374 & 0.952 & 4.62 & 0.1 & 10.56 & 0.046 & 0.0031 & 41.6341066595 & 44.1413965617 & 0.794609075465 & 42.7429621576 & 44.178702697 & -1.62025812682 & -8.84279092453 & -10.2309596483 & -9.89298355111 \\
EGS & 26458 & 9.99959 & 0.953 & 3.96 & 0.2 & 11.15 & 0.168 & 0.0194 & 43.0205466956 & 44.7242368546 & 1.37744936838 & 43.2129653298 & 44.7662066623 & -1.03275416152 & -8.62214063162 & -10.0103093554 & -9.67233325819 \\
EGS & 14897 & 9.51875 & 0.955 & 5.94 & 0.1 & 10.81 & 0.071 & 0.0031 & 41.8841066595 & 44.3913965617 & 1.04460907546 & 42.8277121576 & 44.284640197 & -1.51432062682 & -8.47414092454 & -9.86230964829 & -9.52433355111 \\
EGS & 27295 & 8.89786 & 0.957 & 3.96 & 0.2 & 11.21 & 0.048 & 0.0194 & 43.0805466956 & 44.7842368546 & 1.43744936838 & 43.2333053298 & 44.7916316623 & -1.00732916152 & -7.46041063162 & -8.84857935537 & -8.51060325819 \\
EGS & 18846 & 10.1776 & 0.958 & 3.96 & 0.3 & 11.14 & 0.119 & 0.0489 & 43.4120538248 & 44.7009711474 & 1.35418366114 & 43.3456862466 & 44.9321078083 & -0.866853015524 & -8.82341633886 & -10.2115850626 & -9.87360896543 \\
EGS & 5707 & 10.0932 & 0.96 & 4.62 & 0.1 & 10.77 & 0.083 & 0.0031 & 41.8441066595 & 44.3513965617 & 1.00460907546 & 42.8141521576 & 44.267690197 & -1.53127062682 & -9.08859092454 & -10.4767596483 & -10.1387835511 \\
EGS & 7361 & 9.52144 & 0.96 & 5.28 & 0.1 & 10.33 & 0.03 & 0.0031 & 41.4041066595 & 43.9113965617 & 0.564609075465 & 42.6649921576 & 44.081240197 & -1.71772062682 & -8.95683092453 & -10.3449996483 & -10.0070235511 \\
EGS & 3755 & 10.1722 & 0.96 & 4.62 & 0.3 & 10.92 & 0.161 & 0.0489 & 43.1920538248 & 44.4809711474 & 1.13418366114 & 43.2711062466 & 44.8388828083 & -0.960078015524 & -9.03801633886 & -10.4261850626 & -10.0882089654 \\
EGS & 9013 & 9.61251 & 0.96 & 4.62 & 0.2 & 10.5 & 0.044 & 0.0194 & 42.3705466956 & 44.0742368546 & 0.727449368377 & 42.9926153298 & 44.4907691623 & -1.30819166152 & -8.88506063162 & -10.2732293554 & -9.93525325819 \\
