\begin{table}
\begin{tabular}{ccccccccccccccccccccccccccc}
field_1 & ID & zbest_candels & gfit_n_h & SD_reliable & Irr_reliable & Compact_reliable & s14_RA & s14_Dec & visualHCPG_f_spheroid & visualHCPG_f_disk & visualHCPG_f_irr & visualHCPG_f_ps & field_2 & M_med & zbest & PETRO_RADIUS & fagn_mir & lir & s24(mJy) & fagn_tot & lagn & lsf & sfr & lx & lbol & BHAR \\
GDS & 10014 & 2.38 & 1.52 & 0.12 & 0.12 & 0.0 & 53.06 & -27.82 & 0.56 & 0.9 & 0.26 & 0.0 & GDS & 10.54 & 2.076 & 5.28 & 0.2 & 11.71 & 0.138 & 0.0194 & 43.5805466956 & 45.2842368546 & 1.93744936838 & 43.4028053298 & 45.0035066623 & -0.795454161519 \\
GDS & 10099 & 1.02 & 0.81 & -99.0 & -99.0 & -99.0 & 53.23 & -27.82 & 0.0 & 0.0 & 0.0 & 0.0 & GDS & 9.75 & 1.0202 & 4.62 & 0.1 & 10.4 & 0.041 & 0.0031 & 41.4741066595 & 43.9813965617 & 0.634609075465 & 42.6887221576 & 44.110902697 & -1.68805812682 \\
GDS & 10122 & 2.04 & 0.44 & -99.0 & -99.0 & -99.0 & 53.02 & -27.82 & 0.0 & 0.0 & 0.0 & 0.0 & GDS & 10.35 & 2.04 & 5.28 & 0.2 & 11.29 & 0.06 & 0.0194 & 43.1605466956 & 44.8642368546 & 1.51744936838 & 43.2604253298 & 44.8255316623 & -0.973429161519 \\
GDS & 10130 & 1.99 & 0.2 & 0.0 & 0.12 & 0.0 & 53.06 & -27.82 & 0.0 & 0.98 & 0.23 & 0.01 & GDS & 10.01 & 1.986 & 5.28 & 0.2 & 11.18 & 0.08 & 0.0194 & 43.0505466956 & 44.7542368546 & 1.40744936838 & 43.2231353298 & 44.7789191623 & -1.02004166152 \\
GDS & 10211 & 1.68 & 0.7 & 0.0 & 0.0 & 0.0 & 53.19 & -27.82 & 0.01 & 0.99 & 0.08 & 0.02 & GDS & 9.68 & 1.682 & 5.28 & 0.3 & 10.73 & 0.027 & 0.0489 & 43.0020538248 & 44.2909711474 & 0.944183661141 & 43.2066962466 & 44.7583703083 & -1.04059051552 \\
GDS & 10252 & 1.37 & 3.44 & 0.75 & 0.0 & 0.0 & 53.18 & -27.82 & 0.83 & 0.94 & 0.01 & 0.02 & GDS & 10.49 & 1.37 & 4.62 & 0.3 & 11.78 & 0.274 & 0.0489 & 44.0520538248 & 45.3409711474 & 1.99418366114 & 43.5626462466 & 45.2033078083 & -0.595653015524 \\
GDS & 10270 & 1.44 & 0.51 & 0.0 & 0.25 & 0.0 & 53.19 & -27.82 & 0.02 & 0.74 & 0.34 & 0.01 & GDS & 10.12 & 1.439 & 6.6 & 0.3 & 11.28 & 0.034 & 0.0489 & 43.5520538248 & 44.8409711474 & 1.49418366114 & 43.3931462466 & 44.9914328083 & -0.807528015524 \\
GDS & 10299 & 0.98 & 3.58 & 0.67 & 0.0 & 0.0 & 53.23 & -27.82 & 0.95 & 0.76 & 0.0 & 0.03 & GDS & 10.77 & 0.984 & 4.62 & 0.1 & 10.99 & 0.185 & 0.0031 & 42.0641066595 & 44.5713965617 & 1.22460907546 & 42.8887321576 & 44.360915197 & -1.43804562682 \\
GDS & 10326 & 1.38 & 2.23 & 0.94 & 0.0 & 0.25 & 53.09 & -27.82 & 0.91 & 0.29 & 0.01 & 0.15 & GDS & 9.42 & 1.383 & 3.5 & 0.2 & 10.93 & 0.013 & 0.0194 & 42.8005466956 & 44.5042368546 & 1.15744936838 & 43.1383853298 & 44.6729816623 & -1.12597916152 \\
GDS & 10336 & 1.38 & 0.55 & 0.0 & 0.33 & 0.0 & 53.04 & -27.82 & 0.0 & 0.84 & 0.31 & 0.0 & GDS & 10.21 & 1.38 & 4.62 & 0.1 & 11.26 & 0.081 & 0.0031 & 42.3341066595 & 44.8413965617 & 1.49460907546 & 42.9802621576 & 44.475327697 & -1.32363312682 \\
GDS & 10348 & 1.41 & 1.06 & 0.19 & 0.0 & 0.0 & 53.07 & -27.82 & 0.23 & 0.99 & 0.04 & 0.0 & GDS & 10.72 & 1.413 & 4.62 & 0.1 & 11.44 & 0.175 & 0.0031 & 42.5141066595 & 45.0213965617 & 1.67460907546 & 43.0412821576 & 44.551602697 & -1.24735812682 \\
GDS & 10446 & 2.01 & 0.96 & 0.17 & 0.38 & 0.0 & 53.09 & -27.82 & 0.32 & 0.76 & 0.5 & 0.02 & GDS & 9.97 & 2.0069 & 5.28 & 0.2 & 11.5 & 0.046 & 0.0194 & 43.3705466956 & 45.0742368546 & 1.72744936838 & 43.3316153298 & 44.9145191623 & -0.884441661519 \\
GDS & 10493 & 1.88 & 0.41 & 0.0 & 0.12 & 0.0 & 53.13 & -27.81 & 0.0 & 0.83 & 0.44 & 0.0 & GDS & 10.46 & 1.88 & 5.28 & 0.3 & 11.46 & 0.239 & 0.0489 & 43.7320538248 & 45.0209711474 & 1.67418366114 & 43.4541662466 & 45.0677078083 & -0.731253015524 \\
GDS & 10612 & 1.62 & 3.74 & 0.8 & 0.0 & 0.33 & 53.11 & -27.81 & 0.68 & 0.05 & 0.0 & 0.47 & GDS & 9.12 & 1.616 & 3.96 & 0.2 & 10.55 & 0.013 & 0.0194 & 42.4205466956 & 44.1242368546 & 0.777449368377 & 43.0095653298 & 44.5119566623 & -1.28700416152 \\
GDS & 10634 & 1.77 & 0.95 & 0.0 & 0.08 & 0.0 & 53.16 & -27.81 & 0.17 & 0.97 & 0.12 & 0.01 & GDS & 9.89 & 1.7669 & 4.62 & 0.3 & 10.67 & 0.027 & 0.0489 & 42.9420538248 & 44.2309711474 & 0.884183661141 & 43.1863562466 & 44.7329453083 & -1.06601551552 \\
