\begin{table}
\begin{tabular}{cccccccccccccccccc}
field & ID & M_med & zbest & PETRO_RADIUS & fagn_mir & lir & s24(mJy) & fagn_tot & lagn & lsf & sfr & lx & lbol & BHAR & sSFR & dist_MS & dist_MS_lin \\
GDS & 16440 & 10.63 & 1.033 & 3.96 & 0.2 & 11.56 & 0.246 & 0.0194 & 43.4305466956 & 45.1342368546 & 1.78744936838 & 43.3519553298 & 44.9399441623 & -0.859016661519 & -8.84255063162 & -10.6111671264 & -10.3908818686 \\
GDS & 15336 & 10.55 & 1.036 & 3.5 & 0.1 & 11.29 & 0.221 & 0.0031 & 42.3641066595 & 44.8713965617 & 1.52460907546 & 42.9904321576 & 44.488040197 & -1.31092062682 & -9.02539092454 & -10.7940074194 & -10.5737221616 \\
GDS & 22173 & 9.63 & 1.037 & 3.5 & 0.3 & 11.52 & 0.123 & 0.0489 & 43.7920538248 & 45.0809711474 & 1.73418366114 & 43.4745062466 & 45.0931328083 & -0.705828015524 & -7.89581633886 & -9.66443283369 & -9.44414757589 \\
GDS & 19633 & 9.91 & 1.038 & 4.62 & 0.2 & 10.99 & 0.143 & 0.0194 & 42.8605466956 & 44.5642368546 & 1.21744936838 & 43.1587253298 & 44.6984066623 & -1.10055416152 & -8.69255063162 & -10.4611671264 & -10.2408818686 \\
GDS & 20168 & 9.95 & 1.038 & 5.28 & 0.1 & 11.1 & 0.138 & 0.0031 & 42.1741066595 & 44.6813965617 & 1.33460907546 & 42.9260221576 & 44.407527697 & -1.39143312682 & -8.61539092454 & -10.3840074194 & -10.1637221616 \\
GDS & 24339 & 9.84 & 1.0387 & 5.28 & 0.1 & 11.3 & 0.218 & 0.0031 & 42.3741066595 & 44.8813965617 & 1.53460907546 & 42.9938221576 & 44.492277697 & -1.30668312682 & -8.30539092454 & -10.0740074194 & -9.85372216157 \\
GDS & 17233 & 9.37 & 1.04 & 4.62 & 0.1 & 10.24 & 0.027 & 0.0031 & 41.3141066595 & 43.8213965617 & 0.474609075465 & 42.6344821576 & 44.043102697 & -1.75585812682 & -8.89539092453 & -10.6640074194 & -10.4437221616 \\
GDS & 23441 & 10.09 & 1.0404 & 3.96 & 0.1 & 10.8 & 0.094 & 0.0031 & 41.8741066595 & 44.3813965617 & 1.03460907546 & 42.8243221576 & 44.280402697 & -1.51855812682 & -9.05539092454 & -10.8240074194 & -10.6037221616 \\
GDS & 22712 & 10.72 & 1.043 & 5.94 & 0.1 & 11.42 & 0.425 & 0.0031 & 42.4941066595 & 45.0013965617 & 1.65460907546 & 43.0345021576 & 44.543127697 & -1.25583312682 & -9.06539092454 & -10.8340074194 & -10.6137221616 \\
GDS & 17877 & 9.31 & 1.043 & 4.62 & 0.1 & 10.32 & 0.027 & 0.0031 & 41.3941066595 & 43.9013965617 & 0.554609075465 & 42.6616021576 & 44.077002697 & -1.72195812682 & -8.75539092453 & -10.5240074194 & -10.3037221616 \\
GDS & 25037 & 9.78 & 1.044 & 5.28 & 0.1 & 11.06 & 0.096 & 0.0031 & 42.1341066595 & 44.6413965617 & 1.29460907546 & 42.9124621576 & 44.390577697 & -1.40838312682 & -8.48539092454 & -10.2540074194 & -10.0337221616 \\
GDS & 14637 & 10.11 & 1.045 & 5.28 & 0.2 & 11.12 & 0.164 & 0.0194 & 42.9905466956 & 44.6942368546 & 1.34744936838 & 43.2027953298 & 44.7534941623 & -1.04546666152 & -8.76255063162 & -10.5311671264 & -10.3108818686 \\
GDS & 25270 & 9.63 & 1.046 & 4.62 & 0.2 & 10.65 & 0.056 & 0.0194 & 42.5205466956 & 44.2242368546 & 0.877449368377 & 43.0434653298 & 44.5543316623 & -1.24462916152 & -8.75255063162 & -10.5211671265 & -10.3008818687 \\
GDS & 14782 & 9.55 & 1.056 & 5.28 & 0.1 & 10.74 & 0.021 & 0.0031 & 41.8141066595 & 44.3213965617 & 0.974609075465 & 42.8039821576 & 44.254977697 & -1.54398312682 & -8.57539092454 & -10.3440074194 & -10.1237221616 \\
GDS & 22954 & 9.85 & 1.056 & 4.62 & 0.1 & 10.68 & 0.045 & 0.0031 & 41.7541066595 & 44.2613965617 & 0.914609075465 & 42.7836421576 & 44.229552697 & -1.56940812682 & -8.93539092453 & -10.7040074194 & -10.4837221616 \\
GDS & 18821 & 10.5 & 1.068 & 4.62 & 0.1 & 11.47 & 0.357 & 0.0031 & 42.5441066595 & 45.0513965617 & 1.70460907546 & 43.0514521576 & 44.564315197 & -1.23464562682 & -8.79539092454 & -10.5640074194 & -10.3437221616 \\
GDS & 2096 & 9.29 & 1.07 & 4.62 & 0.1 & 10.39 & 0.029 & 0.0031 & 41.4641066595 & 43.9713965617 & 0.624609075465 & 42.6853321576 & 44.106665197 & -1.69229562682 & -8.66539092454 & -10.4340074194 & -10.2137221616 \\
GDS & 1708 & 9.72 & 1.071 & 5.94 & 0.4 & 10.93 & 0.098 & 0.0916 & 43.4746404394 & 44.4710220912 & 1.12423460501 & 43.3669031089 & 44.9586288862 & -0.840331937611 & -8.59576539499 & -10.3643818898 & -10.144096632 \\
GDS & 1379 & 9.43 & 1.071 & 3.96 & 0.06 & 10.27 & 0.025 & 0.000276 & 40.2936540478 & 43.8526250839 & 0.505837597645 & 42.2885487222 & 43.6106859027 & -2.18827492105 & -8.92416240235 & -10.6927788972 & -10.4724936394 \\
GDS & 15122 & 9.92 & 1.072 & 4.62 & 0.1 & 10.52 & 0.044 & 0.0031 & 41.5941066595 & 44.1013965617 & 0.754609075465 & 42.7294021576 & 44.161752697 & -1.63720812682 & -9.16539092454 & -10.9340074194 & -10.7137221616 \\
GDS & 14099 & 9.77 & 1.072 & 5.28 & 0.06 & 10.33 & 0.03 & 0.000276 & 40.3536540478 & 43.9126250839 & 0.565837597645 & 42.3088887222 & 43.6361109027 & -2.16284992105 & -9.20416240235 & -10.9727788972 & -10.7524936394 \\
GDS & 19556 & 9.4 & 1.074 & 4.62 & 0.1 & 10.49 & 0.068 & 0.0031 & 41.5641066595 & 44.0713965617 & 0.724609075465 & 42.7192321576 & 44.149040197 & -1.64992062682 & -8.67539092453 & -10.4440074194 & -10.2237221616 \\
GDS & 12304 & 9.46 & 1.0793 & 3.96 & 0.1 & 10.28 & 0.026 & 0.0031 & 41.3541066595 & 43.8613965617 & 0.514609075465 & 42.6480421576 & 44.060052697 & -1.73890812682 & -8.94539092454 & -10.7140074194 & -10.4937221616 \\
GDS & 267 & 9.95 & 1.083 & 4.62 & 0.1 & 10.78 & 0.072 & 0.0031 & 41.8541066595 & 44.3613965617 & 1.01460907546 & 42.8175421576 & 44.271927697 & -1.52703312682 & -8.93539092454 & -10.7040074194 & -10.4837221616 \\
GDS & 15753 & 9.53 & 1.086 & 3.5 & 0.1 & 10.43 & 0.03 & 0.0031 & 41.5041066595 & 44.0113965617 & 0.664609075465 & 42.6988921576 & 44.123615197 & -1.67534562682 & -8.86539092453 & -10.6340074194 & -10.4137221616 \\
GDS & 18380 & 9.57 & 1.087 & 5.28 & 0.3 & 10.76 & 0.063 & 0.0489 & 43.0320538248 & 44.3209711474 & 0.974183661141 & 43.2168662466 & 44.7710828083 & -1.02787801552 & -8.59581633886 & -10.3644328337 & -10.1441475759 \\
GDS & 1848 & 10.37 & 1.088 & 5.28 & 0.1 & 11.23 & 0.204 & 0.0031 & 42.3041066595 & 44.8113965617 & 1.46460907546 & 42.9700921576 & 44.462615197 & -1.33634562682 & -8.90539092454 & -10.6740074194 & -10.4537221616 \\
GDS & 11618 & 10.24 & 1.091 & 5.94 & 0.1 & 10.86 & 0.092 & 0.0031 & 41.9341066595 & 44.4413965617 & 1.09460907546 & 42.8446621576 & 44.305827697 & -1.49313312682 & -9.14539092454 & -10.9140074194 & -10.6937221616 \\
