\begin{table}
\begin{tabular}{cccccccccccccccccc}
field & ID & M_med & zbest & PETRO_RADIUS & fagn_mir & lir & s24(mJy) & fagn_tot & lagn & lsf & sfr & lx & lbol & BHAR & sSFR & dist_MS & dist_MS_lin \\
EGS & 21205 & 10.1072 & 0.792 & 4.62 & 0.3 & 11.28 & 0.148 & 0.0489 & 43.5520538248 & 44.8409711474 & 1.49418366114 & 43.3931462466 & 44.9914328083 & -0.807528015524 & -8.61301633886 & -10.0011850626 & -9.66320896543 \\
COS & 24980 & 10.4451 & 0.7926 & 3.5 & 0.1 & 10.77 & 0.066 & 0.0031 & 41.8441066595 & 44.3513965617 & 1.00460907546 & 42.8141521576 & 44.267690197 & -1.53127062682 & -9.44049092454 & -10.8286596483 & -10.4906835511 \\
COS & 5356 & 10.579 & 0.7937 & 4.62 & 0.2 & 11.13 & 0.3 & 0.0194 & 43.0005466956 & 44.7042368546 & 1.35744936838 & 43.2061853298 & 44.7577316623 & -1.04122916152 & -9.22155063162 & -10.6097193554 & -10.2717432582 \\
UDS & 15453 & 9.9642596302 & 0.794 & 4.6199999 & 0.1 & 10.46 & 0.058 & 0.0031 & 41.5341066595 & 44.0413965617 & 0.694609075465 & 42.7090621576 & 44.136327697 & -1.66263312682 & -9.26965055474 & -10.6578192785 & -10.3198431813 \\
EGS & 17789 & 10.2528 & 0.796 & 5.28 & 0.2 & 11.41 & 0.25 & 0.0194 & 43.2805466956 & 44.9842368546 & 1.63744936838 & 43.3011053298 & 44.8763816623 & -0.922579161519 & -8.61535063162 & -10.0035193554 & -9.66554325819 \\
UDS & 20874 & 10.0827853703 & 0.796 & 5.2800002 & 0.3 & 10.83 & 0.147 & 0.0489 & 43.1020538248 & 44.3909711474 & 1.04418366114 & 43.2405962466 & 44.8007453083 & -0.998215515524 & -9.03860170916 & -10.4267704329 & -10.0887943357 \\
UDS & 21633 & 9.66275783168 & 0.797 & 3.96 & 0.3 & 10.83 & 0.095 & 0.0489 & 43.1020538248 & 44.3909711474 & 1.04418366114 & 43.2405962466 & 44.8007453083 & -0.998215515524 & -8.61857417054 & -10.0067428943 & -9.66876679711 \\
UDS & 13502 & 9.07554696139 & 0.798 & 5.9400001 & 0.5 & 11.75 & 0.838 & 0.1475 & 44.501536986 & 45.2634393534 & 1.91665186713 & 43.7150210383 & 45.3937762978 & -0.405184525969 & -7.15889509426 & -8.54706381801 & -8.20908772083 \\
UDS & 9887 & 10.4857214265 & 0.798 & 4.6199999 & 0.2 & 10.87 & 0.222 & 0.0194 & 42.7405466956 & 44.4442368546 & 1.09744936838 & 43.1180453298 & 44.6475566623 & -1.15140416152 & -9.38827205812 & -10.7764407819 & -10.4384646847 \\
COS & 22365 & 10.3914 & 0.8 & 4.62 & 0.4 & 11.57 & 0.592 & 0.0916 & 44.1146404394 & 45.1110220912 & 1.76423460501 & 43.5838631089 & 45.2298288862 & -0.569131937611 & -8.62716539499 & -10.0153341187 & -9.67735802156 \\
EGS & 29833 & 9.81946 & 0.8 & 4.62 & 0.3 & 10.61 & 0.062 & 0.0489 & 42.8820538248 & 44.1709711474 & 0.824183661141 & 43.1660162466 & 44.7075203083 & -1.09144051552 & -8.99527633886 & -10.3834450626 & -10.0454689654 \\
COS & 12296 & 9.28987 & 0.8 & 5.28 & 0.7 & 11.17 & 0.185 & 0.2989 & 44.2282708807 & 44.5985249328 & 1.25173744658 & 43.6223838286 & 45.2779797857 & -0.520981038079 & -8.03813255342 & -9.42630127717 & -9.08832517999 \\
COS & 25559 & 8.93111 & 0.8006 & 7.92 & 0.6 & 10.45 & 0.05 & 0.2166 & 43.368403418 & 43.9267285329 & 0.579941046678 & 43.3308887587 & 44.9136109484 & -0.88534987542 & -8.35116895332 & -9.73933767708 & -9.40136157989 \\
EGS & 29068 & 9.73957 & 0.801 & 5.28 & 0.1 & 10.69 & 0.076 & 0.0031 & 41.7641066595 & 44.2713965617 & 0.924609075465 & 42.7870321576 & 44.233790197 & -1.56517062682 & -8.81496092454 & -10.2031296483 & -9.86515355111 \\
UDS & 19574 & 9.59879050676 & 0.8035 & 5.2800002 & 0.3 & 10.95 & 0.089 & 0.0489 & 43.2220538248 & 44.5109711474 & 1.16418366114 & 43.2812762466 & 44.8515953083 & -0.947365515524 & -8.43460684562 & -9.82277556937 & -9.48479947219 \\
UDS & 22229 & 9.48995847942 & 0.8045 & 4.6199999 & 0.1 & 10.8 & 0.112 & 0.0031 & 41.8741066595 & 44.3813965617 & 1.03460907546 & 42.8243221576 & 44.280402697 & -1.51855812682 & -8.45534940396 & -9.84351812771 & -9.50554203053 \\
UDS & 9738 & 10.6618126855 & 0.8048 & 3.96 & 0.1 & 10.96 & 0.19 & 0.0031 & 42.0341066595 & 44.5413965617 & 1.19460907546 & 42.8785621576 & 44.348202697 & -1.45075812682 & -9.46720361004 & -10.8553723338 & -10.5173962366 \\
EGS & 11104 & 10.2644 & 0.805 & 4.62 & 0.3 & 11.02 & 0.152 & 0.0489 & 43.2920538248 & 44.5809711474 & 1.23418366114 & 43.3050062466 & 44.8812578083 & -0.917703015524 & -9.03021633886 & -10.4183850626 & -10.0804089654 \\
UDS & 15393 & 9.85186960073 & 0.805 & 5.2800002 & 0.1 & 10.74 & 0.126 & 0.0031 & 41.8141066595 & 44.3213965617 & 0.974609075465 & 42.8039821576 & 44.254977697 & -1.54398312682 & -8.87726052526 & -10.265429249 & -9.92745315184 \\
EGS & 6884 & 9.29 & 0.8054 & 3.96 & 0.2 & 10.98 & 0.115 & 0.0194 & 42.8505466956 & 44.5542368546 & 1.20744936838 & 43.1553353298 & 44.6941691623 & -1.10479166152 & -8.08255063162 & -9.47071935537 & -9.13274325819 \\
EGS & 15727 & 10.9604 & 0.806 & 3.96 & 0.2 & 11.12 & 0.133 & 0.0194 & 42.9905466956 & 44.6942368546 & 1.34744936838 & 43.2027953298 & 44.7534941623 & -1.04546666152 & -9.61295063162 & -11.0011193554 & -10.6631432582 \\
UDS & 15792 & 10.2405492483 & 0.806 & 3.96 & 0.1 & 10.59 & 0.074 & 0.0031 & 41.6641066595 & 44.1713965617 & 0.824609075465 & 42.7531321576 & 44.191415197 & -1.60754562682 & -9.41594017284 & -10.8041088966 & -10.4661327994 \\
EGS & 24344 & 9.43207 & 0.806 & 5.28 & 0.1 & 10.7 & 0.042 & 0.0031 & 41.7741066595 & 44.2813965617 & 0.934609075465 & 42.7904221576 & 44.238027697 & -1.56093312682 & -8.49746092453 & -9.88562964829 & -9.54765355111 \\
GDS & 21118 & 9.51 & 0.8068 & 3.96 & 0.02 & 10.05 & 0.031 & -0.000436 & nan & nan & nan & nan & nan & 0.0 & nan & nan & nan \\
UDS & 3768 & 10.6180480967 & 0.807 & 5.2800002 & 0.1 & 11.15 & 0.271 & 0.0031 & 42.2241066595 & 44.7313965617 & 1.38460907546 & 42.9429721576 & 44.428715197 & -1.37024562682 & -9.23343902124 & -10.621607745 & -10.2836316478 \\
COS & 28370 & 8.84359 & 0.807 & 5.28 & 0.2 & 10.18 & 0.026 & 0.0194 & 42.0505466956 & 43.7542368546 & 0.407449368377 & 42.8841353298 & 44.3551691623 & -1.44379166152 & -8.43614063162 & -9.82430935538 & -9.48633325819 \\
UDS & 3554 & 10.0253058653 & 0.807 & 4.6199999 & 0.1 & 11.5 & 0.411 & 0.0031 & 42.5741066595 & 45.0813965617 & 1.73460907546 & 43.0616221576 & 44.577027697 & -1.22193312682 & -8.29069678984 & -9.67886551359 & -9.34088941641 \\
EGS & 4794 & 10.3511 & 0.807 & 5.28 & 0.2 & 10.93 & 0.191 & 0.0194 & 42.8005466956 & 44.5042368546 & 1.15744936838 & 43.1383853298 & 44.6729816623 & -1.12597916152 & -9.19365063162 & -10.5818193554 & -10.2438432582 \\
EGS & 29569 & 8.90587 & 0.8078 & 3.96 & 0.3 & 10.0 & 0.026 & 0.0489 & 42.2720538248 & 43.5609711474 & 0.214183661141 & 42.9592262466 & 44.4490328083 & -1.34992801552 & -8.69168633886 & -10.0798550626 & -9.74187896543 \\
EGS & 20538 & 9.92564 & 0.808 & 10.56 & 0.4 & 10.95 & 0.226 & 0.0916 & 43.4946404394 & 44.4910220912 & 1.14423460501 & 43.3736831089 & 44.9671038862 & -0.831856937611 & -8.78140539499 & -10.1695741187 & -9.83159802156 \\
EGS & 2146 & 9.89026 & 0.8084 & 5.28 & 0.1 & 10.56 & 0.063 & 0.0031 & 41.6341066595 & 44.1413965617 & 0.794609075465 & 42.7429621576 & 44.178702697 & -1.62025812682 & -9.09565092453 & -10.4838196483 & -10.1458435511 \\
EGS & 28269 & 9.47885 & 0.809 & 10.56 & 0.1 & 10.67 & 0.066 & 0.0031 & 41.7441066595 & 44.2513965617 & 0.904609075465 & 42.7802521576 & 44.225315197 & -1.57364562682 & -8.57424092453 & -9.96240964829 & -9.62443355111 \\
COS & 19671 & 9.95086 & 0.81 & 4.62 & 0.1 & 10.62 & 0.073 & 0.0031 & 41.6941066595 & 44.2013965617 & 0.854609075465 & 42.7633021576 & 44.204127697 & -1.59483312682 & -9.09625092454 & -10.4844196483 & -10.1464435511 \\
COS & 270 & 10.4723 & 0.81 & 4.62 & 0.2 & 11.12 & 0.162 & 0.0194 & 42.9905466956 & 44.6942368546 & 1.34744936838 & 43.2027953298 & 44.7534941623 & -1.04546666152 & -9.12485063162 & -10.5130193554 & -10.1750432582 \\
UDS & 4335 & 10.1903316982 & 0.811 & 3.96 & 0.4 & 11.31 & 0.362 & 0.0916 & 43.8546404394 & 44.8510220912 & 1.50423460501 & 43.4957231089 & 45.1196538862 & -0.679306937611 & -8.68609709319 & -10.0742658169 & -9.73628971976 \\
UDS & 9067 & 9.56110138365 & 0.811 & 5.2800002 & 0.3 & 10.61 & 0.092 & 0.0489 & 42.8820538248 & 44.1709711474 & 0.824183661141 & 43.1660162466 & 44.7075203083 & -1.09144051552 & -8.73691772251 & -10.1250864463 & -9.78711034908 \\
EGS & 23704 & 10.0673 & 0.813 & 3.96 & 0.2 & 10.38 & 0.167 & 0.0194 & 42.2505466956 & 43.9542368546 & 0.607449368377 & 42.9519353298 & 44.4399191623 & -1.35904166152 & -9.45985063162 & -10.8480193554 & -10.5100432582 \\
EGS & 27328 & 10.1469 & 0.814 & 3.96 & 0.3 & 11.08 & 0.212 & 0.0489 & 43.3520538248 & 44.6409711474 & 1.29418366114 & 43.3253462466 & 44.9066828083 & -0.892278015524 & -8.85271633886 & -10.2408850626 & -9.90290896543 \\
GDS & 21244 & 9.72 & 0.814 & 5.28 & 0.1 & 10.49 & 0.029 & 0.0031 & 41.5641066595 & 44.0713965617 & 0.724609075465 & 42.7192321576 & 44.149040197 & -1.64992062682 & -8.99539092454 & -10.3835596483 & -10.0455835511 \\
COS & 12246 & 10.447 & 0.814 & 4.62 & 0.2 & 10.69 & 0.139 & 0.0194 & 42.5605466956 & 44.2642368546 & 0.917449368377 & 43.0570253298 & 44.5712816623 & -1.22767916152 & -9.52955063162 & -10.9177193554 & -10.5797432582 \\
EGS & 11660 & 9.39908 & 0.8166 & 4.62 & 0.1 & 10.15 & 0.024 & 0.0031 & 41.2241066595 & 43.7313965617 & 0.384609075465 & 42.6039721576 & 44.004965197 & -1.79399562682 & -9.01447092453 & -10.4026396483 & -10.0646635511 \\
EGS & 25171 & 9.95443 & 0.817 & 3.96 & 0.1 & 10.71 & 0.088 & 0.0031 & 41.7841066595 & 44.2913965617 & 0.944609075465 & 42.7938121576 & 44.242265197 & -1.55669562682 & -9.00982092454 & -10.3979896483 & -10.0600135511 \\
UDS & 24504 & 10.9180303368 & 0.8201 & 3.96 & 0.3 & 11.77 & 1.236 & 0.0489 & 44.0420538248 & 45.3309711474 & 1.98418366114 & 43.5592562466 & 45.1990703083 & -0.599890515524 & -8.93384667566 & -10.3220153994 & -9.98403930223 \\
COS & 25452 & 10.3 & 0.822 & 3.5 & 0.3 & 10.53 & 0.157 & 0.0489 & 42.8020538248 & 44.0909711474 & 0.744183661141 & 43.1388962466 & 44.6736203083 & -1.12534051552 & -9.55581633886 & -10.9439850626 & -10.6060089654 \\
EGS & 23685 & 10.0031 & 0.8228 & 5.28 & 0.1 & 10.81 & 0.108 & 0.0031 & 41.8841066595 & 44.3913965617 & 1.04460907546 & 42.8277121576 & 44.284640197 & -1.51432062682 & -8.95849092454 & -10.3466596483 & -10.0086835511 \\
EGS & 8581 & 9.88728 & 0.823 & 3.96 & 0.2 & 10.83 & 0.098 & 0.0194 & 42.7005466956 & 44.4042368546 & 1.05744936838 & 43.1044853298 & 44.6306066623 & -1.16835416152 & -8.82983063162 & -10.2179993554 & -9.88002325819 \\
GDS & 1864 & 9.61 & 0.824 & 5.28 & 0.1 & 10.68 & 0.078 & 0.0031 & 41.7541066595 & 44.2613965617 & 0.914609075465 & 42.7836421576 & 44.229552697 & -1.56940812682 & -8.69539092453 & -10.0835596483 & -9.74558355111 \\
UDS & 14315 & 9.54777470539 & 0.824 & 5.2800002 & 0.3 & 10.47 & 0.064 & 0.0489 & 42.7420538248 & 44.0309711474 & 0.684183661141 & 43.1185562466 & 44.6481953083 & -1.15076551552 & -8.86359104425 & -10.251759768 & -9.91378367082 \\
COS & 21317 & 9.05427 & 0.825 & 5.94 & 0.2 & 10.55 & 0.061 & 0.0194 & 42.4205466956 & 44.1242368546 & 0.777449368377 & 43.0095653298 & 44.5119566623 & -1.28700416152 & -8.27682063162 & -9.66498935538 & -9.32701325819 \\
COS & 1446 & 10.2672 & 0.826 & 3.96 & 0.1 & 10.78 & 0.104 & 0.0031 & 41.8541066595 & 44.3613965617 & 1.01460907546 & 42.8175421576 & 44.271927697 & -1.52703312682 & -9.25259092454 & -10.6407596483 & -10.3027835511 \\
UDS & 17050 & 10.2278867046 & 0.827 & 3.96 & 0.1 & 11.63 & 0.244 & 0.0031 & 42.7041066595 & 45.2113965617 & 1.86460907546 & 43.1056921576 & 44.632115197 & -1.16684562682 & -8.36327762914 & -9.75144635289 & -9.41347025571 \\
UDS & 4828 & 9.60097289569 & 0.829 & 4.6199999 & 0.1 & 10.54 & 0.059 & 0.0031 & 41.6141066595 & 44.1213965617 & 0.774609075465 & 42.7361821576 & 44.170227697 & -1.62873312682 & -8.82636382022 & -10.214532544 & -9.8765564468 \\
